DOI,Citation_context,Source,file ID,Year,Journal
10.32469/10355/43034,"“…The complexity of environment and biological system highly requires the analytical methods for heavy metal ions detection not only in sensitivity but more importantly in selectivity. [32] The performed selectivity experiment result that tested metal ions, besides Fe (III), barely deactivated the fluorescence intensity of neither T3000 Cdots nor T5000 sample in water. This metal ions control test supported the fact that due to their excellent sensitivity and selectivity profile, the new JEFFAMINE ® T3000 and T5000 C-dots will be a prospective potential candidate for metal ion sensing in water.…”",Scite,,#N/A,#N/A
10.32469/10355/43034,"“…As illustrated in Figure 2.7 , the quenching fluorescence intensity of reactive C-dots was much more distinguished by naked eye in the presence of the red background emission from the CdSe/ZnS QDs (Figure 2.7b) compared with the one in the absence of the reference red emission (Figure 2.7d). [32] Moreover, the highly luminescent carbon nanodots have been proven their own advantages as sensors in biological areas. Niu and co-workers firstly developed an eco-friendly molecularly imprinted silica nanospheres embedded carbon nanodots (CDs@MIP) to detect dopamine in aqueous solution, whose fluorescence intensity decreased linearly with the increasing dopamine concentrations.…”",Scite,,#N/A,#N/A
10.32469/10355/43034,"“…Fluorescence quenching has demonstrated to be an effective analytical approach organisms. [32] And this fluorescence intensity response detection was carried in water. In order to correct the possible inner filter effect from the yellow-colored Fe (III) ions solution, only points below 500 μM were analyzed in our sensing research.…”",Scite,,#N/A,#N/A
10.32469/10355/43034,“…[2] . concentration 0.02 mgmL-1 CdSe@C-TPEA (pH 7.4) [32] .10 Scheme of condensation process of TEOS in sol-gel solution [11] .... 54…”,Scite,,#N/A,#N/A
10.32469/10355/43034,"“…Responding fluorescence spectra (a) the CdSe@C-TPEA ratiometric probe and c) the single CQD-TPEA sensor without QDs as reference signals, exposed to the increasing concentration of Cu (II) ions (b) the dual-emission sensing solution (d) the single emission sensing solution. The inset of (a) shows the Stern-Volmer plot of relative emission as a function of the Cu (II) concentration 0.02 mgmL-1 CdSe@C-TPEA (pH 7.4)[32] …”",Scite,,#N/A,#N/A
10.32607/actanaturae.11180,"“…Carbon dots are effectively used as fluorophores in the development of sensors, in particular, to determine the metal ion content. Adding selective ligands makes it possible to create sensors for the Ag+, Al3+, Zn 2+ , Hg 2+ , and Cu 2+ ions [  120  ,  121  ,  122  ,  123  ,  124  ]. Connecting carbon dots (PL in the blue region) with quantum dots (PL in the red region) and coating with bovine serum albumin has given us a ratiometric sensor for the supersensitive determination of copper ions [  125  ].…”",Scite,,2021,Acta Naturae
10.5772/intechopen.1005582,"“…CQDs are utilized as biosensor carriers due to their excellent water solubility, surface modification flexibility, non-toxicity at the applied concentrations, excitation-dependent emission in different light regions, high biocompatibility, good cell permeability, and strong photostability. These CQD-based biosensors have been employed for real-time monitoring of various analytes, including glucose [60], cellular copper ions [61], phosphate ions [62], iron ions [63], potassium ions [64], pH [65], and nucleic acids [66]. In nucleic acid detection, CQDs are used as efficient fluorescent sensing platforms capable of detecting single-base mismatches.…”",Scite,,2024,Advances in Semiconductor Physics and Devices [Working Title]
10.1039/c6ay01171c,"“…including targets such as mercury (Hg 2+ ) 12 , copper (Cu 2+ ) 13 , iron (Fe 3+ ) 14 , silver (Ag + ) 15 , lead (Pb 2+ ) 16 , tin (Sn 2+ ) 17 , cobalt (Co 2+ ) 18 , iodide (I -) 19 and fluoride (F -) 20 . Combining C-dots with highly specific biorecognition units, especially commercially successful antibodies, to monitor important disease biomarkers is also appealing, yet this effort remains at a very early stage of development.…”",Scite,,2016,Analytical Methods
10.1039/c6ay01171c,"“…[1][2][3] For these reasons, they have recently attracted attention given their high potential to be applied as agents for cell imaging, [4][5][6] drug delivery [7][8][9][10] and sensing. Most of the C-dot sensor work done thus far has focused on inorganic ion detection, 11 including targets such as mercury (Hg 2+ ), 12 copper (Cu 2+ ), 13 iron (Fe 3+ ), 14 silver (Ag + ), 15 lead (Pb 2+ ), 16 tin (Sn 2+ ), 17 cobalt (Co 2+ ), 18 iodide (I À ) 19 and uoride (F À ). 20 Combining C-dots with highly specic biorecognition units, especially commercially successful antibodies, to monitor important disease biomarkers is also appealing, yet this effort remains at a very early stage of development.…”",Scite,,2016,Analytical Methods
10.1039/c6ay01171c,"“…Other than that, almost all applications have targeted Cu 2+ as an analyte, utilizing the uorescence signal-off quenching effect of Cu 2+ on C-dots immobilized on the surface of the silica spheres. Zhu et al 13 hybridized C-dots and an organic copper receptor with silica-coated CdSe/ZnS quantum dots for ratiometric cellular imaging of Cu 2+ . Liu et al 32 developed a ratiometric nanosensor for Cu 2+ by coating C-dots on the surface of Rhodamine B-doped silica nanoparticles, where C-dots were synthesized from N-(b-aminoethyl)-g-aminopropyl methyldimethoxysilane (AEAPMS) producing a quantum yield of 25% and residual surface groups of ethylene diamine and methoxysilane serving as Cu 2+ recognition units.…”",Scite,,2016,Analytical Methods
10.1039/d0ay01293a,,Scopus citing DOI,215.pdf,2020,Analytical Methods
10.1039/d1ay01716k,,Scopus citing DOI,,2022,Analytical Methods
10.3390/app13063991,,Scopus citing DOI,22.pdf,2023,Applied Sciences
10.1039/c3bm60297d,"“…35 On the other hand, nanomaterial-based photothermal therapy (PTT) for treating solid tumors has also attracted considerable interest because these nanostructured materials, including gold, carbon nanotubes, and graphenes, can strongly absorb near-infrared (NIR) light and locally produce cytotoxic heat to kill cancer cells. [39][40][41][42][43][44][45][46] The big challenge is that it is still very hard to achieve complete tumor ablation, because the local photothermal cytotoxicity from these NPs is not sufficient to eliminate the diffused tumor cells, and heat transfer in organisms is complicated. 47,48 In order to enhance the therapeutic efficacy, the combination of PTT with chemotherapy is a desirable method because chemotherapeutic agents exhibit an enhanced cytotoxicity at elevated temperatures.…”",Scite,,2014,Biomater. Sci.
10.3390/bios13030376,"“…Carbon nanodots (CNDs), used as a “nanolight”, are emerging as an attractive fluorescent carbon material due to their strength, adjustability, photoluminescence and good optoelectronic properties [  23  ,  24  ,  25  ]. Several chemical sensors have been developed to detect biomolecules [  26  ] and metal ions [  27  ,  28  ] based on the quenching and recovery of CND fluorescence. In particular, the emission enhancement of CNDs is of great interest to the development of nanophotonics [  29  ].…”",Scite,,2023,Biosensors
10.3390/c4040067,"“…CDs are also used in, so-called, ratiometric sensors. Taking advantage of the simultaneous presence of two emission bands peaked at different wavelengths (referred to as dual emission), displayed by some CDs, one can use the variation of their intensity ratio as the physical observable to infer the amount and the type of the analyte [150,151]. Indeed, in the same sample, different interactions with the analyte can affect the chromophores responsible of the two bands.…”",Scite,,2018,C
10.3390/catal13050858,"“…One of the most common and potentially significant uses of CDs is sensing [152][153][154]. Due to their superior optical qualities, high fluorescence sensitivity to the surrounding environment [155,156], and ability to function as effective electron donors [157][158][159], CDs are frequently suggested as detectors for a variety of harmful substances, including heavy metals such as mercury [160][161][162], copper, and iron [163][164][165][166]. To make CDs more sensitive to one or more of these analytes, persistent work is being conducted in this direction.…”",Scite,,2023,Catalysts
10.1039/c4cc02412e,,Scopus citing DOI,141.pdf,2014,Chem. Commun.
10.1039/c5cc00757g,,Scopus citing DOI,116.pdf,2015,Chemical Communications
10.1039/c5cc09248e,,Scopus citing DOI,151.pdf,2016,Chemical Communications
10.1039/c5cc10658c,,Scopus citing DOI,154.pdf,2016,Chemical Communications
10.1039/c6cc09563a,,Scopus citing DOI,97.pdf,2017,Chemical Communications
10.1039/c8cc00189h,,Scopus citing DOI,,2018,Chemical Communications
10.1039/c9cc01825e,,Scopus citing DOI,165.pdf,2019,Chemical Communications
10.1039/c9cc05406e,,Scopus citing DOI,192.pdf,2019,Chemical Communications
10.1039/d0cc06750d,,Scopus citing DOI,222.pdf,2020,Chemical Communications
10.1039/c5sc00819k,"“…Recent advances in nanotechnology have given rise to a new class of ultrasmall, sub-5 nm nanocrystals, 1, 2 such as quantum dots, 3 carbon nanodots, 4, 5 graphene nanodots, 6 and metal nanoclusters 7. These sub-5 nm nanocrystals, composed of a few to several hundred atoms, are of significant interest because they provide the missing link between atomic and nanoparticle behavior 8, 9.…”",Scite,,2015,Chemical Science
10.1039/d1ce00166c,,Scopus citing DOI,227.pdf,2021,CrystEngComm
10.1039/c7dt03393a,,Scopus citing DOI,108.pdf,2017,Dalton Transactions
10.1039/d0dt00729c,,Scopus citing DOI,205.pdf,2020,Dalton Transactions
10.1039/d4dt02344g,"“…In regard of nanoparticles, gold, quantum dots, metal–organic frameworks (MOFs), or carbon dots were used most often. 6…”",Scite,,2025,Dalton Transactions
